@relation oaidtb_BIGUIApp

@attribute xPos numeric
@attribute yPos numeric
@attribute class {-16776961,-65536,-13108,-13057,-205,-6684673,-39220}

@data
63,168,-16776961
97,162,-16776961
111,144,-16776961
126,127,-16776961
149,97,-16776961
167,68,-16776961
252,45,-16776961
339,44,-16776961
417,81,-65536
379,81,-65536
322,84,-65536
272,93,-65536
233,108,-65536
182,126,-65536
148,151,-65536
144,175,-65536
76,202,-65536
150,275,-16776961
161,264,-16776961
180,226,-16776961
215,191,-16776961
282,170,-16776961
362,168,-16776961
492,184,-16776961
642,223,-13108
587,223,-13108
518,220,-13108
505,219,-13108
407,229,-13108
339,259,-13108
315,279,-13108
261,337,-13108
752,279,-13057
714,281,-13057
677,281,-13057
581,282,-13057
498,283,-13057
447,286,-13057
354,334,-13057
351,372,-13057
481,454,-205
485,445,-205
512,414,-205
543,393,-205
567,383,-205
598,374,-205
619,367,-205
647,364,-205
702,359,-205
733,359,-205
787,361,-205
74,260,-6684673
73,285,-6684673
79,311,-6684673
85,328,-6684673
93,351,-6684673
103,372,-6684673
135,397,-6684673
205,429,-6684673
46,246,-6684673
47,263,-6684673
47,295,-6684673
50,314,-6684673
55,342,-6684673
63,375,-6684673
82,413,-6684673
116,443,-6684673
147,472,-6684673
578,169,-39220
561,187,-39220
549,225,-39220
543,247,-39220
543,295,-39220
548,351,-39220
550,370,-39220
556,397,-39220
566,421,-39220
577,444,-39220
585,469,-39220
501,147,-39220
461,159,-39220
459,178,-39220
464,212,-39220
