@relation oaidtb_BIGUIApp

@attribute xPos numeric
@attribute yPos numeric
@attribute class {-16776961,-65536,-13108,-13057,-205,-6684673,-39220,-10027162,-26164,-16737895,-52327,-16711783}

@data
63,168,-16776961
97,162,-16776961
111,144,-16776961
126,127,-16776961
149,97,-16776961
167,68,-16776961
252,45,-16776961
339,44,-16776961
417,81,-65536
379,81,-65536
322,84,-65536
272,93,-65536
233,108,-65536
182,126,-65536
148,151,-65536
144,175,-65536
76,202,-65536
150,275,-16776961
161,264,-16776961
180,226,-16776961
215,191,-16776961
282,170,-16776961
362,168,-16776961
492,184,-16776961
642,223,-13108
587,223,-13108
518,220,-13108
505,219,-13108
407,229,-13108
339,259,-13108
315,279,-13108
261,337,-13108
752,279,-13057
714,281,-13057
677,281,-13057
581,282,-13057
498,283,-13057
447,286,-13057
354,334,-13057
351,372,-13057
481,454,-205
485,445,-205
512,414,-205
543,393,-205
567,383,-205
598,374,-205
619,367,-205
647,364,-205
702,359,-205
733,359,-205
787,361,-205
74,260,-6684673
73,285,-6684673
79,311,-6684673
85,328,-6684673
93,351,-6684673
103,372,-6684673
135,397,-6684673
205,429,-6684673
46,246,-6684673
47,263,-6684673
47,295,-6684673
50,314,-6684673
55,342,-6684673
63,375,-6684673
82,413,-6684673
116,443,-6684673
147,472,-6684673
578,169,-39220
561,187,-39220
549,225,-39220
543,247,-39220
543,295,-39220
548,351,-39220
550,370,-39220
556,397,-39220
566,421,-39220
577,444,-39220
585,469,-39220
501,147,-39220
461,159,-39220
459,178,-39220
464,212,-39220
703,92,-10027162
737,111,-10027162
780,145,-10027162
819,189,-10027162
839,225,-10027162
861,296,-10027162
874,356,-10027162
64,234,-10027162
62,277,-10027162
67,336,-10027162
99,393,-10027162
164,443,-10027162
263,390,-10027162
267,422,-10027162
266,456,-10027162
267,486,-10027162
280,392,-10027162
301,397,-10027162
332,400,-10027162
337,420,-10027162
339,443,-10027162
342,479,-10027162
329,494,-10027162
302,494,-10027162
288,490,-10027162
292,423,-26164
295,442,-26164
297,467,-26164
307,427,-26164
320,431,-26164
321,447,-26164
321,462,-26164
312,472,-26164
253,376,-16737895
253,387,-16737895
252,412,-16737895
252,442,-16737895
252,462,-16737895
252,485,-16737895
268,504,-16737895
295,506,-16737895
332,509,-16737895
357,510,-16737895
361,486,-16737895
361,455,-16737895
362,429,-16737895
362,401,-16737895
352,392,-16737895
340,385,-16737895
305,380,-16737895
285,379,-16737895
263,375,-16737895
883,49,-52327
841,79,-52327
881,105,-52327
891,54,-52327
869,47,-52327
847,59,-52327
900,69,-52327
841,80,-52327
895,59,-52327
841,72,-52327
902,72,-52327
871,47,-52327
843,86,-52327
852,100,-52327
859,50,-52327
845,64,-52327
857,51,-52327
884,50,-52327
864,106,-52327
874,47,-52327
901,86,-52327
854,101,-52327
897,61,-52327
842,82,-52327
842,72,-52327
901,68,-52327
898,91,-52327
888,51,-52327
848,94,-52327
889,52,-52327
846,62,-52327
844,66,-52327
842,79,-52327
850,98,-52327
847,61,-52327
842,78,-52327
850,57,-52327
906,42,-16711783
847,122,-16711783
835,47,-16711783
883,128,-16711783
920,95,-16711783
850,123,-16711783
823,86,-16711783
824,69,-16711783
918,102,-16711783
