@relation oaidtb_BIGUIApp

@attribute xPos numeric
@attribute yPos numeric
@attribute class {-16776961,-65536,-6684673,-65281,-10027213}

@data
11,228,-16776961
418,196,-16776961
443,207,-16776961
432,198,-16776961
436,200,-16776961
391,234,-16776961
391,220,-16776961
390,228,-16776961
434,199,-16776961
408,199,-16776961
439,203,-16776961
397,207,-16776961
429,197,-16776961
390,229,-16776961
393,238,-16776961
440,204,-16776961
407,199,-16776961
435,200,-16776961
403,201,-16776961
390,224,-16776961
441,205,-16776961
414,197,-16776961
391,218,-16776961
391,232,-16776961
430,198,-16776961
393,239,-16776961
415,196,-16776961
426,197,-16776961
391,233,-16776961
390,222,-16776961
412,197,-16776961
404,201,-16776961
404,200,-16776961
392,216,-16776961
396,209,-16776961
395,210,-16776961
390,227,-16776961
390,223,-16776961
433,199,-16776961
390,230,-16776961
401,203,-16776961
422,196,-16776961
402,202,-16776961
425,196,-16776961
427,197,-16776961
419,196,-16776961
390,226,-16776961
398,205,-16776961
410,198,-16776961
431,198,-16776961
420,196,-16776961
395,209,-16776961
134,107,-16776961
101,101,-16776961
136,52,-16776961
97,62,-16776961
129,108,-16776961
149,91,-16776961
96,64,-16776961
150,67,-16776961
149,92,-16776961
151,88,-16776961
142,101,-16776961
93,88,-16776961
112,107,-16776961
151,72,-16776961
148,64,-16776961
92,75,-16776961
136,105,-16776961
121,49,-16776961
100,100,-16776961
148,94,-16776961
98,97,-16776961
149,66,-16776961
99,98,-16776961
127,109,-16776961
145,59,-16776961
93,73,-16776961
144,59,-16776961
92,80,-16776961
104,103,-16776961
102,57,-16776961
100,99,-16776961
119,109,-16776961
124,109,-16776961
134,52,-16776961
112,51,-16776961
111,107,-16776961
131,50,-16776961
140,103,-16776961
131,51,-16776961
117,49,-16776961
145,60,-16776961
128,108,-16776961
93,87,-16776961
92,81,-16776961
152,78,-16776961
109,52,-16776961
120,109,-16776961
110,107,-16776961
127,49,-16776961
139,103,-16776961
130,50,-16776961
101,100,-16776961
92,79,-16776961
152,76,-16776961
151,87,-16776961
103,102,-16776961
138,53,-16776961
92,77,-16776961
101,57,-16776961
148,95,-16776961
107,53,-16776961
116,108,-16776961
96,94,-16776961
133,107,-16776961
95,92,-16776961
129,90,-65536
130,74,-65536
131,76,-65536
132,86,-65536
120,92,-65536
125,92,-65536
113,83,-65536
126,72,-65536
116,89,-65536
128,91,-65536
114,87,-65536
120,91,-65536
119,73,-65536
133,81,-65536
120,73,-65536
117,74,-65536
131,88,-65536
130,75,-65536
133,84,-65536
127,73,-65536
128,90,-65536
123,92,-65536
124,72,-65536
126,92,-65536
132,77,-65536
115,88,-65536
131,75,-65536
114,86,-65536
113,81,-65536
114,77,-65536
115,87,-65536
123,72,-65536
113,80,-65536
132,85,-65536
132,78,-65536
114,78,-65536
115,76,-65536
113,85,-65536
113,82,-65536
122,72,-65536
129,74,-65536
133,80,-65536
127,91,-65536
133,79,-65536
113,79,-65536
121,72,-65536
117,90,-65536
116,74,-65536
118,90,-65536
119,91,-65536
125,72,-65536
120,72,-65536
116,75,-65536
118,74,-65536
124,92,-65536
222,99,-6684673
223,76,-6684673
202,21,-6684673
47,17,-6684673
219,109,-6684673
31,42,-6684673
44,143,-6684673
147,179,-6684673
33,38,-6684673
146,179,-6684673
212,36,-6684673
186,4,-6684673
161,174,-6684673
27,108,-6684673
56,156,-6684673
221,64,-6684673
223,74,-6684673
34,128,-6684673
222,96,-6684673
208,30,-6684673
61,160,-6684673
43,141,-6684673
40,138,-6684673
113,181,-6684673
29,115,-6684673
220,105,-6684673
30,46,-6684673
50,150,-6684673
159,175,-6684673
208,29,-6684673
180,164,-6684673
198,16,-6684673
195,12,-6684673
219,55,-6684673
203,22,-6684673
55,9,-6684673
218,114,-6684673
95,178,-6684673
213,39,-6684673
98,179,-6684673
218,52,-6684673
23,83,-6684673
220,57,-6684673
67,165,-6684673
23,86,-6684673
57,7,-6684673
29,117,-6684673
23,91,-6684673
223,82,-6684673
223,88,-6684673
46,18,-6684673
44,144,-6684673
199,147,-6684673
26,56,-6684673
36,131,-6684673
204,141,-6684673
183,2,-6684673
189,7,-6684673
97,178,-6684673
212,127,-6684673
220,107,-6684673
24,98,-6684673
26,105,-6684673
34,37,-6684673
24,93,-6684673
23,73,-6684673
100,179,-6684673
59,5,-6684673
198,148,-6684673
92,177,-6684673
210,33,-6684673
29,47,-6684673
77,171,-6684673
25,102,-6684673
38,135,-6684673
167,172,-6684673
57,6,-6684673
60,4,-6684673
68,166,-6684673
222,94,-6684673
28,112,-6684673
32,124,-6684673
222,97,-6684673
85,174,-6684673
62,3,-6684673
216,118,-6684673
33,126,-6684673
56,8,-6684673
89,176,-6684673
28,109,-6684673
74,169,-6684673
223,67,-6684673
24,85,-6684673
55,154,-6684673
187,160,-6684673
24,81,-6684673
143,180,-6684673
46,20,-6684673
223,98,-6684673
168,172,-6684673
136,181,-6684673
158,176,-6684673
79,171,-6684673
208,136,-6684673
30,117,-6684673
222,101,-6684673
28,110,-6684673
180,165,-6684673
214,126,-6684673
52,12,-6684673
63,2,-6684673
90,176,-6684673
24,82,-6684673
55,10,-6684673
211,131,-6684673
224,83,-6684673
140,181,-6684673
31,47,-6684673
82,173,-6684673
212,130,-6684673
211,132,-6684673
36,34,-6684673
206,24,-6684673
31,118,-6684673
186,3,-6684673
208,27,-6684673
25,72,-6684673
24,84,-6684673
221,108,-6684673
220,111,-6684673
201,18,-6684673
36,129,-6684673
52,151,-6684673
210,134,-6684673
26,99,-6684673
41,138,-6684673
202,19,-6684673
216,43,-6684673
222,60,-6684673
77,170,-6684673
184,2,-6684673
224,86,-6684673
57,8,-6684673
66,0,-6684673
103,180,-6684673
67,164,-6684673
211,32,-6684673
122,182,-6684673
189,6,-6684673
182,163,-6684673
65,163,-6684673
220,110,-6684673
212,129,-6684673
137,181,-6684673
130,182,-6684673
161,175,-6684673
62,161,-6684673
49,16,-6684673
123,182,-6684673
200,17,-6684673
171,170,-6684673
207,26,-6684673
205,141,-6684673
119,182,-6684673
198,15,-6684673
25,68,-6684673
215,124,-6684673
112,181,-6684673
148,179,-6684673
34,38,-6684673
196,13,-6684673
28,55,-6684673
205,23,-6684673
202,144,-6684673
196,12,-6684673
65,1,-6684673
40,27,-6684673
125,182,-6684673
157,177,-6684673
209,134,-6684673
222,100,-6684673
216,122,-6684673
28,54,-6684673
25,94,-6684673
203,143,-6684673
215,41,-6684673
197,14,-6684673
24,75,-6684673
191,8,-6684673
197,151,-6684673
181,164,-6684673
110,181,-6684673
207,137,-6684673
126,182,-6684673
50,149,-6684673
223,68,-6684673
32,44,-6684673
25,97,-6684673
105,180,-6684673
41,27,-6684673
221,58,-6684673
218,115,-6684673
96,178,-6684673
224,89,-6684673
210,32,-6684673
218,47,-6684673
27,105,-6684673
42,24,-6684673
166,173,-6684673
224,84,-6684673
185,161,-6684673
196,151,-6684673
35,36,-6684673
169,171,-6684673
154,177,-6684673
165,173,-6684673
49,149,-6684673
221,106,-6684673
216,42,-6684673
223,93,-6684673
65,162,-6684673
215,40,-6684673
40,137,-6684673
182,0,-6684673
28,56,-6684673
138,181,-6684673
45,143,-6684673
61,159,-6684673
53,153,-6684673
173,169,-6684673
46,145,-6684673
29,49,-6684673
214,39,-6684673
118,182,-6684673
115,182,-6684673
41,26,-6684673
70,166,-6684673
134,182,-6684673
86,175,-6684673
212,34,-6684673
37,32,-6684673
104,180,-6684673
174,169,-6684673
153,178,-6684673
186,161,-6684673
224,85,-6684673
151,178,-6684673
162,174,-6684673
221,59,-6684673
94,177,-6684673
50,14,-6684673
24,77,-6684673
118,130,-65281
173,73,-65281
130,129,-65281
76,97,-65281
153,40,-65281
82,52,-65281
169,61,-65281
105,127,-65281
123,130,-65281
172,91,-65281
142,126,-65281
156,117,-65281
76,62,-65281
92,41,-65281
78,59,-65281
104,34,-65281
139,127,-65281
147,124,-65281
79,57,-65281
73,82,-65281
145,34,-65281
73,73,-65281
81,51,-65281
173,76,-65281
172,70,-65281
115,30,-65281
172,71,-65281
147,35,-65281
163,109,-65281
166,54,-65281
73,81,-65281
117,29,-65281
120,29,-65281
152,120,-65281
157,42,-65281
148,123,-65281
151,37,-65281
124,129,-65281
171,92,-65281
73,84,-65281
169,98,-65281
167,55,-65281
132,30,-65281
134,30,-65281
74,90,-65281
75,64,-65281
156,41,-65281
168,100,-65281
73,76,-65281
170,95,-65281
129,29,-65281
126,129,-65281
144,33,-65281
140,126,-65281
74,87,-65281
91,118,-65281
76,63,-65281
164,107,-65281
119,29,-65281
160,45,-65281
125,29,-65281
74,88,-65281
99,123,-65281
73,83,-65281
160,113,-65281
147,123,-65281
151,120,-65281
172,88,-65281
79,55,-65281
158,115,-65281
154,118,-65281
98,122,-65281
113,128,-65281
150,37,-65281
73,80,-65281
104,125,-65281
77,98,-65281
85,112,-65281
103,33,-65281
114,128,-65281
164,50,-65281
89,42,-65281
75,94,-65281
92,39,-65281
116,29,-65281
170,63,-65281
139,32,-65281
116,128,-65281
75,93,-65281
141,32,-65281
158,43,-65281
156,42,-65281
149,121,-65281
171,93,-65281
166,104,-65281
108,127,-65281
173,72,-65281
154,39,-65281
172,89,-65281
162,47,-65281
126,29,-65281
91,117,-65281
172,69,-65281
173,75,-65281
149,36,-65281
151,38,-65281
173,82,-65281
100,123,-65281
106,126,-65281
172,72,-65281
101,34,-65281
152,38,-65281
173,83,-65281
79,102,-65281
81,52,-65281
73,85,-65281
90,42,-65281
172,67,-65281
129,129,-65281
173,81,-65281
75,67,-65281
159,45,-65281
105,126,-65281
164,51,-65281
173,85,-65281
170,96,-65281
85,46,-65281
173,79,-65281
116,30,-65281
83,110,-65281
127,129,-65281
171,66,-65281
88,43,-65281
75,66,-65281
165,106,-65281
97,122,-65281
138,127,-65281
94,38,-65281
130,30,-65281
143,33,-65281
94,119,-65281
150,121,-65281
84,47,-65281
83,49,-65281
74,71,-65281
142,125,-65281
118,129,-65281
152,39,-65281
149,122,-65281
116,129,-65281
74,91,-65281
143,125,-65281
172,68,-65281
167,104,-65281
81,105,-65281
144,124,-65281
98,123,-65281
161,47,-65281
82,108,-65281
165,107,-65281
125,129,-65281
162,110,-65281
86,45,-65281
162,111,-65281
79,56,-65281
82,51,-65281
165,53,-65281
119,129,-65281
83,50,-65281
144,34,-65281
99,35,-65281
172,86,-65281
93,39,-65281
141,125,-65281
131,30,-65281
83,109,-65281
136,31,-65281
172,90,-65281
77,60,-65281
124,29,-65281
112,128,-65281
74,86,-65281
131,128,-65281
140,32,-65281
77,99,-65281
75,65,-65281
173,74,-65281
84,111,-65281
158,114,-65281
91,40,-65281
169,99,-65281
135,30,-65281
71,143,-10027213
46,56,-10027213
155,8,-10027213
201,70,-10027213
200,65,-10027213
63,27,-10027213
80,149,-10027213
186,129,-10027213
63,135,-10027213
146,157,-10027213
43,74,-10027213
203,76,-10027213
197,51,-10027213
96,6,-10027213
65,136,-10027213
51,46,-10027213
105,159,-10027213
75,17,-10027213
115,161,-10027213
197,112,-10027213
195,117,-10027213
118,1,-10027213
183,28,-10027213
89,153,-10027213
72,143,-10027213
43,81,-10027213
46,59,-10027213
202,96,-10027213
43,79,-10027213
176,21,-10027213
173,143,-10027213
202,94,-10027213
43,77,-10027213
135,160,-10027213
199,106,-10027213
64,135,-10027213
111,2,-10027213
106,159,-10027213
150,6,-10027213
121,161,-10027213
52,43,-10027213
201,62,-10027213
180,138,-10027213
55,123,-10027213
49,51,-10027213
202,92,-10027213
185,31,-10027213
169,16,-10027213
56,38,-10027213
158,153,-10027213
44,67,-10027213
71,141,-10027213
81,13,-10027213
193,43,-10027213
203,80,-10027213
190,38,-10027213
104,159,-10027213
191,123,-10027213
193,120,-10027213
186,31,-10027213
56,37,-10027213
52,118,-10027213
63,134,-10027213
58,35,-10027213
102,4,-10027213
73,18,-10027213
192,122,-10027213
53,42,-10027213
96,156,-10027213
129,161,-10027213
48,54,-10027213
65,26,-10027213
198,53,-10027213
203,72,-10027213
112,2,-10027213
108,2,-10027213
45,97,-10027213
43,76,-10027213
198,110,-10027213
136,2,-10027213
203,82,-10027213
86,152,-10027213
144,4,-10027213
49,110,-10027213
144,158,-10027213
131,1,-10027213
95,6,-10027213
191,124,-10027213
153,7,-10027213
156,154,-10027213
68,23,-10027213
81,149,-10027213
203,85,-10027213
103,4,-10027213
200,103,-10027213
174,143,-10027213
107,3,-10027213
154,155,-10027213
170,16,-10027213
55,39,-10027213
137,160,-10027213
47,56,-10027213
77,15,-10027213
71,21,-10027213
116,1,-10027213
62,132,-10027213
203,73,-10027213
89,9,-10027213
60,31,-10027213
152,156,-10027213
197,111,-10027213
125,1,-10027213
140,159,-10027213
179,24,-10027213
202,90,-10027213
184,29,-10027213
191,122,-10027213
200,102,-10027213
178,23,-10027213
171,17,-10027213
179,138,-10027213
151,156,-10027213
161,152,-10027213
51,117,-10027213
47,57,-10027213
178,139,-10027213
59,130,-10027213
46,60,-10027213
181,137,-10027213
116,161,-10027213
203,84,-10027213
197,110,-10027213
141,159,-10027213
58,128,-10027213
139,159,-10027213
69,140,-10027213
113,160,-10027213
199,56,-10027213
171,145,-10027213
182,27,-10027213
85,151,-10027213
147,157,-10027213
56,125,-10027213
65,25,-10027213
74,145,-10027213
188,34,-10027213
